"Name","inference_time","val_mse","_wandb"
"glowing-sweep-50","0.0019386217191621855","0.7596369385719299",""
"peachy-sweep-49","0.0047807817335252635","0.6759426593780518",""
"vocal-sweep-48","0.0015729557384144175","0.6227207779884338",""
"comic-sweep-47","0.002229898006885083","0.6811550259590149",""
"peachy-sweep-46","0.001813078855539297","0.7800284624099731",""
"autumn-sweep-45","0.0031324810795969778","0.698009729385376",""
"vibrant-sweep-44","0.0010912977523058168","0.7595784664154053",""
"drawn-sweep-43","0.003437785359172078","0.6836268901824951",""
"radiant-sweep-42","0.0017553571769391286","0.6835823655128479",""
"helpful-sweep-41","0.003466663609110183","0.677065372467041",""
"zany-sweep-40","0.003978594557031408","0.7987428307533264",""
"apricot-sweep-39","0.005108858083749747","0.6855790019035339",""
"cosmic-sweep-38","0.001580720615697606","0.6552459597587585",""
"bright-sweep-37","0.0017999704782064858","0.653893768787384",""
"polar-sweep-36","0.0029839354676085635","0.6470096111297607",""
"warm-sweep-35","0.0018928345147665444","0.781545102596283",""
"glowing-sweep-34","0.004054456562190861","0.7342970967292786",""
"ancient-sweep-33","0.002248183473364099","0.6581932902336121",""
"valiant-sweep-32","0.001833616913139046","0.7495020031929016",""
"bumbling-sweep-31","0.0011269137603063925","0.6209507584571838",""
"azure-sweep-30","0.0017005886350359236","0.7570397257804871",""
"ruby-sweep-29","0.001485168351412596","0.6954156756401062",""
"zany-sweep-28","0.003018097444014116","0.6935586333274841",""
"lucky-sweep-27","0.0015039047899774308","0.6410284042358398",""
"cool-sweep-26","0.0027144853170816","0.7290692925453186",""
"woven-sweep-25","0.0022426069556892693","0.6954429149627686",""
"sandy-sweep-24","0.001797160544952789","0.6980168223381042",""
"confused-sweep-23","0.0018752101179841277","0.6975305676460266",""
"deft-sweep-22","0.003140435590372457","0.8308629989624023",""
"clear-sweep-21","0.0027812610973011365","0.656200110912323",""
"robust-sweep-20","0.00197259791485675","0.7344961762428284",""
"absurd-sweep-19","0.0012750843060521427","0.7678269147872925",""
"misunderstood-sweep-18","0.0017854856745816209","0.6599494218826294",""
"dutiful-sweep-17","0.0013054403497652432","0.6678024530410767",""
"prime-sweep-16","0.004034087255403593","0.6634210348129272",""
"happy-sweep-15","0.0015873512926629777","0.7259987592697144",""
"graceful-sweep-14","0.00265091793544906","0.6548104882240295",""
"warm-sweep-13","0.001362507040415214","0.7167290449142456",""
"polished-sweep-12","0.0017447223911037694","0.7378678321838379",""
"atomic-sweep-11","0.0029927569550353213","0.8803171515464783",""
"autumn-sweep-10","0.001980841933906853","0.7816562652587891",""
"lilac-sweep-9","0.0011399460149510289","0.8657731413841248",""
"rosy-sweep-8","0.002538606717989042","0.622580885887146",""
"zesty-sweep-7","0.0021900944895558543","0.7237257957458496",""
"snowy-sweep-6","0.0031232802898852855","0.9094171524047852",""
"desert-sweep-5","0.0026337914047489725","0.7486071586608887",""
"stoic-sweep-4","0.0021062934553468383","0.7331058979034424",""
"pretty-sweep-3","0.0017877494861714615","0.7022417187690735",""
"light-sweep-2","0.0041139032933619115","0.6414094567298889",""
"crimson-sweep-1","0.003113046869055017","0.7114758491516113",""
